Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
What supports UNFPA's work?	the international community	[]	None	None	None	set()	
The Fund's programs support women, men, and who else?	young people	[]	None	None	None	set()	
What is one of the world's smallest sources of funding for population and reproductive health programs?	None	[]	None	None	None	set()	
How many countries are not yet in support?	None	[]	None	None	None	set()	
What programs are not focused on by UNFPA?	None	[]	None	None	None	set()	
What fund doesn't work with governments?	None	[]	None	None	None	set()	
UNFPA lists elements that promote what human right?	reproductive health	[]	None	None	None	set()	
These elements concern health related to reproduction and what else?	the reproductive system	[]	None	None	None	set()	
What is the third element?	social health	['United Nations', 'State Department', 'U.S State Department']	None	None	ORG	{'ORG'}	
UNFPA lists elements that neglect what human right?	None	[]	None	None	None	set()	
These elements ignore health related to reproduction and what else?	None	[]	None	None	None	set()	
What element is not important to the UNFPA?	None	[]	None	None	None	set()	
What is not seen as a right to the UNFPA?	None	[]	None	None	None	set()	
Where does The Fund work to raise awareness and provide support?	developing countries	[]	None	None	None	set()	
To what does The Fund advocate that close attention be paid?	population concerns	[]	None	None	None	set()	
What two things does The Fund help developing nations formulate to support sustainable development?	policies and strategies	[]	None	None	None	set()	
Who took up leadership of The Fund in January 2011?	Dr. Osotimehin	[]	None	None	None	set()	
The Fund is represented by a Patron and who else?	Goodwill Ambassadors	[]	None	None	None	set()	
Where does The Fund work to lower awareness and decrease support?	None	[]	None	None	None	set()	
To what does The Fund advocate that no attention be paid?	None	[]	None	None	None	set()	
Who refused to take leadership of The Fund in January 2011?	None	[]	None	None	None	set()	
Who else is not represented by The Fund?	None	[]	None	None	None	set()	
UNFPA's mission is to promote the rights and health of whom?	women and young people	[]	None	None	None	set()	
With whom does UNFPA work in partnership?	governments	['United Nations', 'State Department', 'Congress']	None	None	ORG	{'ORG'}	
With what sort of agencies does UNFPA work?	United Nations agencies	[]	None	None	None	set()	
In addition to mobilizing support and resources, what does UNFPA do with its partners?	raise awareness	[]	None	None	None	set()	
Who does UNFPA work with in addition to government and U.N. agencies?	communities, NGOs, foundations and the private sector	['the United Nations Fund for Population Activities', 'The United Nations Population Fund', 'the Executive Branch']	None	None	ORG	{'ORG'}	
UNFPA's mission is to deny the rights and health of whom?	None	[]	None	None	None	set()	
With whom does UNFPA avoid partnering with?	None	[]	None	None	None	set()	
With what sort of agencies does UNFPA not work with?	None	[]	None	None	None	set()	
In addition to mobilizing support and resources, what does UNFPA want to decrease?	None	[]	None	None	None	set()	
Who is hurt most by the UNFPA?	None	[]	None	None	None	set()	
UNFPA has  been accused of supporting what type of abortion?	forced-abortions	[]	None	None	None	set()	
UNFPA has been accused of supporting programs that coerce what?	sterilizations	[]	None	None	None	set()	
What groups have made these accusations against UNFPA?	anti-family planning groups	['the Chinese Family Planning Office', 'The European Commission', 'the United Nations Development Group']	None	None	ORG	{'ORG'}	
Controversy regarding these accusations has caused conflict with how many presidential administrations?	three	['four', '180', '154']	None	None	CARDINAL	{'CARDINAL'}	
Who was UNFPA accurately accused by?	None	[]	None	None	None	set()	
Controversy regarding these accusations has caused harmony with how many presidential administrations?	None	[]	None	None	None	set()	
What groups have dismissed these accusations against UNFPA?	None	[]	None	None	None	set()	
Which administrations funded UNFPA the most?	None	[]	None	None	None	set()	
What claims were not controversial?	None	[]	None	None	None	set()	
Who contributes to UNFPA?	governments and the private sector	['The United Nations Population Fund', 'the United States State Department', 'the Chinese Family Planning Office']	None	None	ORG	{'ORG'}	
Contributions exceeded how much in 2014?	$1 billion	['$19 M', '$36 M.', '$52 M']	None	None	MONEY	{'MONEY'}	
How much of its funding was earmarked?	$529 million	['$244 million', '$477 million', '$1 billion']	None	None	MONEY	{'MONEY'}	
What was the amount of funding for UNFPA's core resources?	$477 million	['$244 million', '$529 million', '$62 M']	None	None	MONEY	{'MONEY'}	
Who never contributed to UNFPA?	None	[]	None	None	None	set()	
Contributions were lowered by how much in 2014?	None	[]	None	None	None	set()	
How much funding was not earmarked correctly?	None	[]	None	None	None	set()	
What was the amount taken away from UNFPA's core resources?	None	[]	None	None	None	set()	
During what period did UNFPA aid Peru's reproductive health program?	the mid-to-late '90s	[]	None	None	None	set()	
Peru was found to have been coercing what?	sterilizations	[]	None	None	None	set()	
UNFPA responded to Peruvian abuses by calling for what?	reforms and protocols	[]	None	None	None	set()	
UNFPA's goal in Peru was to protect whose rights?	women seeking assistance	[]	None	None	None	set()	
After the scandal became public, what did UNFPA work to reform in Peru?	laws and practices	[]	None	None	None	set()	
Who refused aid to Peru's reproductive health program in the mid-to-late '80s?	None	[]	None	None	None	set()	
Peru was found to have been protecting against what?	None	[]	None	None	None	set()	
UNFPA's goal in Peru was to destroy whose rights?	None	[]	None	None	None	set()	
After the scandal became private, what did UNFPA work to reform in Peru?	None	[]	None	None	None	set()	
Which 21st century administration denied funding to UNFPA?	the Bush Administration	['The European Commission', 'the UN Population Fund', 'the State Department']	None	None	ORG	{'ORG'}	
During what period did the administration deny funding?	From 2002 through 2008	['January 2009', 'January 2006', 'January 2011']	None	None	DATE	{'DATE'}	
Who allocates UNFPA funding in the U.S.?	the US Congress	['the United Nations', 'the Washington Times', 'the State Department']	None	None	ORG	{'ORG'}	
What in the Chinese program caused trouble for UNFPA?	forced abortions and coercive sterilizations	[]	None	None	None	set()	
What amendment did the administration believe the UNFPA funding violated?	the Kemp-Kasten Amendment	[]	None	None	None	set()	
Which 21st century administration increased funding to UNFPA?	None	[]	None	None	None	set()	
During what period did the administration increase funding the most?	None	[]	None	None	None	set()	
Who will never allocate UNFPA funding in the U.S.?	None	[]	None	None	None	set()	
What amendment did the administration believe the UNFPA funding supported?	None	[]	None	None	None	set()	
What claims were not refuted?	None	[]	None	None	None	set()	
Which country was administering forced abortions?	China	['Japan', 'Spain', 'UK']	None	None	GPE	{'GPE'}	
How many people were on the U.S. fact-finding team?	three	['four', '180', '154']	None	None	CARDINAL	{'CARDINAL'}	
Which U.S. department investigated the allegations?	the State Department	['U.S State Department', 'the Washington Times', 'the Executive Branch']	None	None	ORG	{'ORG'}	
Which country was administering the fewest abortions?	None	[]	None	None	None	set()	
How many people were on the Chinese fact-finding team?	None	[]	None	None	None	set()	
Which U.S. department ignored the allegations?	None	[]	None	None	None	set()	
Which organization had no critics?	None	[]	None	None	None	set()	
What policies did a State Department official accuse UNFPA of helping China carry out?	population control policies	[]	None	None	None	set()	
What was this official's position at the time?	Secretary of State	['the United Nations', 'State Department', 'the “Group of 77”']	None	None	ORG	{'ORG'}	
Who was the official that accused UNFPA?	Colin Powell	['Barack Obama', 'Scott Weinberg', 'Nafis Sadik']	None	None	PERSON	{'PERSON'}	
What was UNFPA accused of contributing to the Chinese program?	vehicles and computers	[]	None	None	None	set()	
What papers reported on this incident?	the Washington Post and the Washington Times	[]	None	None	None	set()	
What policies did a State Department official accuse UNFPA of not helping China carry out?	None	[]	None	None	None	set()	
Who was the official that was part of UNFPA?	None	[]	None	None	None	set()	
What was UNFPA accused of taking away from the Chinese program?	None	[]	None	None	None	set()	
What papers denied to report on this incident?	None	[]	None	None	None	set()	
Which representative criticized the the State Department investigation?	Christopher H. Smith	['George H. W. Bush', 'Babatunde Osotimehin', 'Thoraya Ahmed Obaid']	None	None	PERSON	{'PERSON'}	
The representative said that inspectors had been show what sort of villages?	Potemkin Villages	[]	None	None	None	set()	
Which former director defended UNFPA?	Dr. Nafis Sadik	[]	None	None	None	set()	
Which NGO investigated the Chinese program in 2005?	Amnesty International	['the State Department', 'the UN Population Fund', 'the “Group of 77”']	None	None	ORG	{'ORG'}	
What sort of techniques did the State Department conclude were still being employed by China?	coercive techniques	[]	None	None	None	set()	
Which representative helped the the State Department investigation the most?	None	[]	None	None	None	set()	
The representative said that inspectors had never seen what sort of villages?	None	[]	None	None	None	set()	
Which former director disliked UNFPA?	None	[]	None	None	None	set()	
What sort of techniques did the State Department conclude were never employed by China?	None	[]	None	None	None	set()	
Which NGO investigated the Chinese program in 2002?	None	[]	None	None	None	set()	
What organization found no evidence that UNFPA had supported Chinese coercion?	Amnesty International	['U.S State Department', 'State Department', 'United Nations']	None	None	ORG	{'ORG'}	
In 2001, what organization accused UNFPA of sharing office space with Chinese family planning officials?	Population Research Institute	['the UN Population Fund', 'The United Nations Population Fund', 'the Chinese Family Planning Office']	None	None	ORG	{'ORG'}	
In January 2006, who approved UNFPA's new country programme?	United Nations Members	['more than 130', 'more than 150', 'over 150']	None	None	CARDINAL	{'CARDINAL'}	
How many members does the “Group of 77” have?	130	[]	None	None	None	set()	
Who, speaking for the European democracies, also defended UNFPA?	the United Kingdom	['United States', 'UK', 'Spain']	None	None	GPE	{'GPE'}	
What organization found plenty of evidence that UNFPA had supported Chinese coercion?	None	[]	None	None	None	set()	
How many members does the “Group of 44” have?	None	[]	None	None	None	set()	
In January 2006, who destroyed UNFPA's new country programme?	None	[]	None	None	None	set()	
Who, speaking for the European democracies, also disliked UNFPA?	None	[]	None	None	None	set()	
What organization was sharing office space with Chinese family planning officials in 2011?	None	[]	None	None	None	set()	
Which government official blocked funding to the UNFPA?	President	['the Washington Post', 'The European Commission', 'the UN Population Fund']	None	None	ORG	{'ORG'}	
What was the name of the official who blocked UNFPA funding?	Bush	['Sadik', 'Powell', 'Colin Powell']	None	None	PERSON	{'PERSON'}	
How much funding was blocked?	$244 million	['$477 million', '$529 million', '$54 M']	None	None	MONEY	{'MONEY'}	
Which branch of government denied the UNFPA funding?	the Executive Branch	['the State Department', 'the Washington Times', 'the Undersecretary of State for Political']	None	None	ORG	{'ORG'}	
How had the UNFPA funding been initially approved?	Congressionally	['the US Congress', 'the “Group of 77”', 'the Washington Post']	None	None	ORG	{'ORG'}	
Which government official increased funding to the UNFPA?	None	[]	None	None	None	set()	
What was the name of the official who increased UNFPA funding?	None	[]	None	None	None	set()	
How much was funding increased by?	None	[]	None	None	None	set()	
Which administration increased funding to UNFPA?	None	[]	None	None	None	set()	
Which European government contributed the most to the UNFPA in 2008?	the Netherlands	[]	None	None	None	set()	
Which European government contributed the least to the UNFPA in 2008?	Luxembourg	['Switzerland', 'Philippines', 'United States']	None	None	GPE	{'GPE'}	
Which non-European donor was most important to the UNFPA in 2008?	Japan	['Spain', 'China', 'UK']	None	None	GPE	{'GPE'}	
In 2008, over how many countries contributed to the UNFPA?	180	['154', '17', 'four']	None	None	CARDINAL	{'CARDINAL'}	
Which non-European donor took away their donation to the UNFPA in 2008?	None	[]	None	None	None	set()	
How many countries stopped supporting the UNFPA in 2008?	None	[]	None	None	None	set()	
Which European government never contributed to the UNFPA in 2008?	None	[]	None	None	None	set()	
What report was not left behind by the US?	None	[]	None	None	None	set()	
What year did UNFPA receive funding mainly from non-European sources?	None	[]	None	None	None	set()	
What is one country in which nonprofit organizations try to make up for the loss of United States funding for the UNFPA?	America	['Germany', 'Belgium', 'UK']	None	None	GPE	{'GPE'}	
What kind of organization is Friends of UNFPA?	nonprofit	[]	None	None	None	set()	
What was Friends of UNFPA's previous name?	Americans for UNFPA	[]	None	None	None	set()	
What type of United States funding does Friends of UNFPA try to replace? 	federal funding	[]	None	None	None	set()	
Through what sort of donations does Friends of UNFPA raise money?	private donations	[]	None	None	None	set()	
What is one country in which nonprofit organizations try to increase the loss of funding for the UNFPA?	None	[]	None	None	None	set()	
What kind of organization is not friends of UNFPA?	None	[]	None	None	None	set()	
What organization is mainly funded through public donations?	None	[]	None	None	None	set()	
What country has never been involved with UNFPA?	None	[]	None	None	None	set()	
Which president began funding UNFPA again?	Barack Obama	['Colin Powell', 'Ronald Reagan', 'Nafis Sadik']	None	None	PERSON	{'PERSON'}	
In what year did U.S. funding of UNFPA resume?	2009	[]	None	None	None	set()	
In what month did U.S. funding of UNFPA resume?	January	[]	None	None	None	set()	
The president said the U.S. would be joining how many donor nations?	180	['154', '17', 'four']	None	None	CARDINAL	{'CARDINAL'}	
The president said funding the U.N. Population Fund would help in how many countries?	154	['180', '17', 'four']	None	None	CARDINAL	{'CARDINAL'}	
Which president never funded UNFPA again?	None	[]	None	None	None	set()	
In what year did U.S. funding of UNFPA end?	None	[]	None	None	None	set()	
In what month did U.S. funding of UNFPA end?	None	[]	None	None	None	set()	
Who said funding the U.N. Population Fund would not help 154 countries?	None	[]	None	None	None	set()	
What program funded in 2009 does not help women?	None	[]	None	None	None	set()	
Which ocean is along eastern Russia?	the Pacific Ocean	['the Arctic Ocean', 'the Kuril Islands', 'the Black sea']	None	None	LOC	{'LOC'}	
Which union did Russia belong to after 1922?	the Soviet Union	['the United States', 'the Soviet Russian Republic', 'the Russian Republic']	None	None	GPE	{'GPE'}	
When did the RSFSR cease to be a part of the Soviet Union?	91	[]	None	None	None	set()	
How many autonomous republics make up the RSFSR?	sixteen	['fourteen', 'forty', 'five']	None	None	CARDINAL	{'CARDINAL'}	
The RSFSR contains how many oblasts?	forty	['five', 'one', '188']	None	None	CARDINAL	{'CARDINAL'}	
How many autonomous oblasts were part of the RSFSR?	five	['one', 'six', '188']	None	None	CARDINAL	{'CARDINAL'}	
How many krais were present in the RSFSR?	six	['one', '188', 'ten']	None	None	CARDINAL	{'CARDINAL'}	
Which ocean is along western Russia?	None	[]	None	None	None	set()	
Which union did Russia belong to before 1922?	None	[]	None	None	None	set()	
When did the RSFSR continue to be a part of the Soviet Union?	None	[]	None	None	None	set()	
How many dependent republics make up the RSFSR?	None	[]	None	None	None	set()	
The RSFSR rejects how many oblasts?	None	[]	None	None	None	set()	
Which group originally created the Soviet state?	the Bolsheviks	[]	None	None	None	set()	
Who led the group which created the Soviet state?	Vladimir Lenin	['Joseph Stalin', 'Byelorussian Soviet Socialist Republic', 'Mikhail Gorbachev']	None	None	PERSON	{'PERSON'}	
Which government was overthrown during the October Revolution?	the Russian Provisional Government	['Kirghiz Soviet Socialist Republics', "the Council of People's Commissars", 'the All-Russian Congress of Soviets']	None	None	ORG	{'ORG'}	
How long did the new Russian Soviet state go unrecognized by other countries?	five months	['December 12', 'December 24', '1991 August']	None	None	DATE	{'DATE'}	
What name did people opposed to the Bolsheviks use for the Soviet state?	Sovdepia	['Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who was the leader of the Bolsheviks in 1917?	Vladimir Lenin	['Joseph Stalin', 'Byelorussian Soviet Socialist Republic', 'Mikhail Gorbachev']	None	None	PERSON	{'PERSON'}	
What body was overthrown by the October Revolution?	Russian Provisional Government	['Sovdepia', 'Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
For how long did the Soviet Union go unrecognized?	five months	['December 12', 'December 24', '1991 August']	None	None	DATE	{'DATE'}	
What derisive label was given to the USSR by the enemies of the Bolsheviks?	Sovdepia	['Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Which group originally destroyed the Soviet state?	None	[]	None	None	None	set()	
Who rejected the group which created the Soviet state?	None	[]	None	None	None	set()	
Which government was overthrown before the October Revolution?	None	[]	None	None	None	set()	
How long did the new Russian Soviet state go recognized by other countries?	None	[]	None	None	None	set()	
What name did people opposed to the Bolsheviks reject for the Soviet state?	None	[]	None	None	None	set()	
When was the Soviet Union created?	December 30, 1922	['December 25, 1991', 'December 26, 1991', 'December 5, 1936']	None	None	DATE	{'DATE'}	
How many republics were in the USSR?	six	['one', '188', 'ten']	None	None	CARDINAL	{'CARDINAL'}	
What name for Russia was listed in the Soviet Constitution?	the Russian Soviet Federative Socialist Republic	['the Soviet Russian Republic', 'the Russian Republic', 'Autonomous Soviet Socialist Republic']	None	None	GPE	{'GPE'}	
When did the Soviet Union include the final Russian name for its republic in the Constitution?	1936	['1943', '1944', '1982']	None	None	DATE	{'DATE'}	
In which war was Russia involved in 1700?	the Great Northern War	['the Russian Federation', 'the Kaliningrad Oblast', 'the Russian Republic']	None	None	GPE	{'GPE'}	
On what date was the Soviet Union created?	December 30, 1922	['December 25, 1991', 'December 26, 1991', 'December 5, 1936']	None	None	DATE	{'DATE'}	
How many republics made up the USSR by the end of 1922?	six	['one', '188', 'ten']	None	None	CARDINAL	{'CARDINAL'}	
In what year was the name Russian Soviet Federative Socialist Republic adopted?	1936	['1943', '1944', '1982']	None	None	DATE	{'DATE'}	
What document renamed the country the Russian Soviet Federative Socialist Republic?	Soviet Constitution of 1936	[]	None	None	None	set()	
In what year was the Great Northern War fought?	1700	[]	None	None	None	set()	
When was the Soviet Union destroyed?	None	[]	None	None	None	set()	
How many republics weren't in the USSR?	None	[]	None	None	None	set()	
What name for Russia wasn't listed in the Soviet Constitution?	None	[]	None	None	None	set()	
When did the Soviet Union disclude the final Russian name for its republic in the Constitution?	None	[]	None	None	None	set()	
In which war was Russia involved in 1710?	None	[]	None	None	None	set()	
When did the Soviet Union break up?	December 25, 1991	['December 26, 1991', 'December 30, 1922', 'December 8, 1991']	None	None	DATE	{'DATE'}	
Which name did Russia take after the fall of the Soviet Union?	the Russian Federation	['Russian Empire', 'East Prussia', 'Crimea']	None	None	GPE	{'GPE'}	
What is the current official name of Russia?	the Russian Federation	['Russian Empire', 'East Prussia', 'Crimea']	None	None	GPE	{'GPE'}	
When was the current name for Russia added to the Russian constitution?	April 21, 1992	[]	None	None	None	set()	
When was Russia renamed the Russian Federation?	December 25, 1991	['December 26, 1991', 'December 30, 1922', 'December 8, 1991']	None	None	DATE	{'DATE'}	
What event led to Russia being renamed the Russian Federation?	the collapse of the Soviet Union	['the Communist Parties of the USSR', 'Council of Ministers–Government', 'the All-Russian Congress of Soviets']	None	None	ORG	{'ORG'}	
When was Russia made an official state name of the Russian Federation?	April 21, 1992	[]	None	None	None	set()	
What 1993 document confirmed Russia as an official state name of the Russian Federation?	1993 Constitution of Russia	['the April 21, 1992 amendment', 'another five months', 'the 1993']	None	None	DATE	{'DATE'}	
When did the Soviet Empire break up?	None	[]	None	None	None	set()	
Which name did Russia take after the rise of the Soviet Union?	None	[]	None	None	None	set()	
What is the current unofficial name of Russia?	None	[]	None	None	None	set()	
When wasn't the current name for Russia added to the Russian constitution?	None	[]	None	None	None	set()	
What event led to the Russian Federation being renamed Russia?	None	[]	None	None	None	set()	
Which country did the RSFSR border on the west?	Poland	['Crimea', 'Norway', 'Japan']	None	None	GPE	{'GPE'}	
Which countries did the RSFSR border on the northwest?	Norway and Finland	['Western Siberia', 'Central Asia', 'Sakhalin Island']	None	None	LOC	{'LOC'}	
Which countries did the RSFSR border on the southeast?	Democratic People's Republic of Korea, Mongolian People's Republic, and the People's Republic of China	['Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ', 'Sovdepia']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Which Soviet countries did the RSFSR border on the south?	Azerbaijan, Georgian and Kazakh SSRs	[]	None	None	None	set()	
Which Soviet countries did the RSFSR border on the west?	the Ukrainian, Belarusian, Estonian, Latvian and Lithuanian SSRs	['the April 21, 1992 amendment', 'January 31, 1924', 'January 6, 1992']	None	None	DATE	{'DATE'}	
What country borders Russia on the west?	Poland	['Crimea', 'Norway', 'Brest (']	None	None	GPE	{'GPE'}	
Along with Norway, what country borders the RSFSR on the northwest?	Finland	['Brest (', 'Germany', 'Ukraine']	None	None	GPE	{'GPE'}	
In the USSR, what SSR did the RSFSR border along with the Kazakh SSR?	Georgian	['Russian', 'Estonian', 'Ukrainian']	None	None	NORP	{'NORP'}	
Along with the Mongolian People's Republic and the People's Republic of China, what country did the RSFSR border to its southeast?	Democratic People's Republic of Korea	['Sovdepia', 'Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Which country did the RSFSR conquer on the west?	None	[]	None	None	None	set()	
Which countries did the RSFSR conquer on the northwest?	None	[]	None	None	None	set()	
Which countries did the RSFSR incorporate on the southeast?	None	[]	None	None	None	set()	
Which Russian countries did the RSFSR border on the south?	None	[]	None	None	None	set()	
Which Soviet countries did the RSFSR reject on the west?	None	[]	None	None	None	set()	
When did the Soviet regime first become powerful?	November 7, 1917	['7 November [O.S.', 'December 5, 1936', 'December 8, 1991']	None	None	DATE	{'DATE'}	
Which government was in power before the Soviet regime?	the Russian Provisional Government	['Kirghiz Soviet Socialist Republics', "the Council of People's Commissars", 'the All-Russian Congress of Soviets']	None	None	ORG	{'ORG'}	
Which revolution led to the Soviet regime's rise to power?	the October Revolution	['World War I.', 'the Russian Civil War', 'World War II Soviet']	None	None	EVENT	{'EVENT'}	
How long was the state of the Soviet regime unrecognized by other countries?	five months	['the same day', 'December 12', 'December 24']	None	None	DATE	{'DATE'}	
What was the name of the republic the Russian Provisional Goverment ruled?	the Russian Republic	['the Soviet Russian Republic', 'the Russian Federation', "The Russian Federation's"]	None	None	GPE	{'GPE'}	
When did the Soviet government assume power?	November 7, 1917	['7 November [O.S.', 'December 5, 1936', 'December 8, 1991']	None	None	DATE	{'DATE'}	
What event led to the assumption of power by the Soviet government?	the October Revolution	['World War I.', 'the Russian Civil War', 'World War II Soviet']	None	None	EVENT	{'EVENT'}	
What body governed Russia prior to the Soviet government?	the Russian Provisional Government	['Kirghiz Soviet Socialist Republics', "the Council of People's Commissars", 'Council of Ministers–Government']	None	None	ORG	{'ORG'}	
In months, for how long was the new Soviet state unrecognized?	five	['one', 'six', '188']	None	None	CARDINAL	{'CARDINAL'}	
When did the Soviet regime first lose power?	None	[]	None	None	None	set()	
Which government was in power after the Soviet regime?	None	[]	None	None	None	set()	
Which revolution led to the Soviet regime's fall from power?	None	[]	None	None	None	set()	
How long was the state of the Soviet regime recognized by other countries?	None	[]	None	None	None	set()	
What wasn't the name of the republic the Russian Provisional Goverment ruled?	None	[]	None	None	None	set()	
Which official name was Russia given at the start of 1918?	the Soviet Russian Republic	['the Russian Republic', 'the Tuvan Autonomous Oblast', 'Autonomous Soviet Socialist Republic']	None	None	GPE	{'GPE'}	
To which country did Russia give land during World War I?	Germany	['Belarus', 'Crimea', 'Japan']	None	None	GPE	{'GPE'}	
Which treaty did Russia sign in order to give land and gain peace during World War I?	the Treaty of Brest-Litovsk	['Treaty on the Creation of the', 'Soviet Constitution', 'the Treaty of Tartu']	None	None	LAW	{'LAW'}	
What war resulted in Russia shrinking further during 1918?	the Russian Civil War	['the Great Northern War of 1700', 'the October Revolution', 'the "War of Laws"']	None	None	EVENT	{'EVENT'}	
What numbered meeting of the All-Russian Congress of Soviets occurred on January 25, 1918?	third	['First', 'Second', 'first']	None	None	ORDINAL	{'ORDINAL'}	
On January 25, 1918, what was the official name given to the Soviet state?	the Soviet Russian Republic	['the Russian Republic', 'the Tuvan Autonomous Oblast', 'Autonomous Soviet Socialist Republic']	None	None	GPE	{'GPE'}	
What did Russia receive in return for signing the Treaty of Brest-Litovsk?	peace in World War I	[]	None	None	None	set()	
On what date was the country renamed the Russian Socialist Federative Soviet Republic?	July 10, 1918	['March 3, 1918', 'June 12, 1990', 'June 12, 1991']	None	None	DATE	{'DATE'}	
During what 1918 conflict did states secede from Russia?	the Russian Civil War	['the Great Northern War of 1700', 'the "War of Laws"', 'the October Revolution']	None	None	EVENT	{'EVENT'}	
Which unofficial name was Russia given at the start of 1918?	None	[]	None	None	None	set()	
To which country did Russia give land during World War II?	None	[]	None	None	None	set()	
Which treaty did Russia sign in order to give land and gain peace during World War II?	None	[]	None	None	None	set()	
What war resulted in Russia growing further during 1918?	None	[]	None	None	None	set()	
What numbered meeting of the All-Russian Congress of Soviets occurred on January 25, 1981?	None	[]	None	None	None	set()	
Which oblast was broken up in 1943?	Karachay Autonomous Oblast	['Autonomous Soviet Socialist Republic', 'the Tuvan Autonomous Oblast', 'Japan']	None	None	GPE	{'GPE'}	
Where were the Karachays sent after their oblast was broken up?	Central Asia	['Western Siberia', 'Sakhalin Island', 'Siberia']	None	None	LOC	{'LOC'}	
Which SSR received the land of the Karachays' oblast?	the Georgian SSR	[]	None	None	None	set()	
Who broke up the Karachays' oblast?	Joseph Stalin	['Boris Yeltsin', 'Vladimir Lenin', 'Byelorussian Soviet Socialist Republic']	None	None	PERSON	{'PERSON'}	
Who eliminated the Karachay Autonomous Oblast?	Joseph Stalin	['Boris Yeltsin', 'Vladimir Lenin', 'Mikhail Gorbachev']	None	None	PERSON	{'PERSON'}	
When was the Karachay Autonomous Oblast ended?	1943	['1944', '1993', '1982']	None	None	DATE	{'DATE'}	
To where were the Karachays exiled?	Central Asia	['Western Siberia', 'Sakhalin Island', 'Siberia']	None	None	LOC	{'LOC'}	
Why were the Karachays exiled?	alleged collaboration with the Germans	['Sovdepia', 'Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  ']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What republic was the territory of the Karachay Autonomous Oblast transferred to?	Georgian SSR	[]	None	None	None	set()	
Which oblast was kept together in 1943?	None	[]	None	None	None	set()	
Where were the Karachays not sent after their oblast was broken up?	None	[]	None	None	None	set()	
Which SSR rejected the land of the Karachays' oblast?	None	[]	None	None	None	set()	
Who didn't break up the Karachays' oblast?	None	[]	None	None	None	set()	
When was the Karachay Autonomous Oblast not ended?	None	[]	None	None	None	set()	
On what date was the RSFSR established?	November 7, 1917	['December 5, 1936', 'December 8, 1991', 'October 24, 1945']	None	None	DATE	{'DATE'}	
What event led to the establishment of the RSFSR?	October Revolution	['August 19–21, 1991', 'October] 1917', '7 November [O.S.']	None	None	DATE	{'DATE'}	
In what year was the Constitution adopted?	1918	['1978', '1943', '1944']	None	None	DATE	{'DATE'}	
The Treaty on the Creation of the USSR was signed in what year?	1922	['1982', '1992', '1924']	None	None	DATE	{'DATE'}	
On what date was the RSFSR abolished?	None	[]	None	None	None	set()	
What event led to the abolishment of the RSFSR?	None	[]	None	None	None	set()	
In what year was the Constitution rejected?	None	[]	None	None	None	set()	
The Treaty on the Creation of the USSR was not signed in what year?	None	[]	None	None	None	set()	
What year was the first Constitution not adopted?	None	[]	None	None	None	set()	
How much of the USSR's electricity was produced in the RSFSR?	two-thirds	['Sakhalin Island', 'Central Asia', 'Western Siberia']	None	None	LOC	{'LOC'}	
What two countries produced more petroleum than Russia in 1961?	the United States and Saudi Arabia	['Central Black Soil Region', 'Georgian', 'Soviet']	None	None	NORP	{'NORP'}	
How many students were in institutions of higher education in Russia in 1974?	23,941,000	[]	None	None	None	set()	
How many institutions of higher education did Russia possess in 1974?	475	['one', '188', 'six']	None	None	CARDINAL	{'CARDINAL'}	
In how many languages were students in institutions of higher education being educated in 1974?	47	['6', 'one', '188']	None	None	CARDINAL	{'CARDINAL'}	
How much of the USSR's electricity was delayed in the RSFSR?	None	[]	None	None	None	set()	
What two countries produced less petroleum than Russia in 1961?	None	[]	None	None	None	set()	
How many students were in institutions of lower education in Russia in 1974?	None	[]	None	None	None	set()	
How many institutions of high school did Russia possess in 1974?	None	[]	None	None	None	set()	
In how many languages were students in institutions of high school being educated in 1974?	None	[]	None	None	None	set()	
On what date was the Declaration of State Sovereignty adopted?	June 12, 1990	['June 12, 1991', 'July 10, 1918', 'March 3, 1944']	None	None	DATE	{'DATE'}	
Who became president on June 12, 1991?	Boris Yeltsin	['Joseph Stalin', 'Vladimir Lenin', 'Byelorussian Soviet Socialist Republic']	None	None	PERSON	{'PERSON'}	
On what date were the Belavezha Accords signed?	December 8, 1991	['December 5, 1936', 'December 26, 1991', 'December 25, 1991']	None	None	DATE	{'DATE'}	
When did the Russian Parliament ratify the Belavezha Accords?	December 12	['December 24', '1991 August', 'June 12']	None	None	DATE	{'DATE'}	
What agreement did the Belavezha Accords supersede?	1922 Treaty on the Creation of the USSR	[]	None	None	None	set()	
On what date was the Declaration of State Sovereignty rejected?	None	[]	None	None	None	set()	
